gamma_1,gamma_3,gamma_5,gamma_10,gamma_15,gamma_25,short_cons,D_max,timestamp,T-bills rf
1095.8450598759262,1080.9467639198472,1070.182728232952,1053.2867161091006,1050.2430574999942,1050.5529396057645,LO,0.1,2007-11-09,479.4027
1084.3016223180227,1069.5889470224058,1059.373709077289,1044.2799750276797,1041.5937706216007,1041.9346157907958,LO,0.1,2007-11-12,479.42055
1079.8288472407958,1065.1490805010835,1054.9595218422287,1039.855298088099,1039.5969007134238,1043.7117553295857,LO,0.1,2007-11-13,479.4384
1088.2141208454282,1073.3989210970935,1062.7329804590274,1046.9728238002633,1045.6113417533304,1048.4926646523872,LO,0.1,2007-11-14,479.5554
1091.6512755945016,1076.9765600383012,1067.1420341101896,1052.6150561165682,1051.0996062451975,1053.7478380955395,LO,0.1,2007-11-15,479.7113
1097.2735692567958,1082.5491535452313,1072.8648993450086,1058.5280745633,1056.637347898092,1057.8310189642016,LO,0.1,2007-11-16,479.673
1107.2017641666432,1092.4732307348283,1083.2624801637953,1069.5582744894687,1066.562578692374,1065.9242528159423,LO,0.1,2007-11-19,479.8272
1122.248811806657,1107.3271977714028,1097.253998108956,1082.3932390230389,1078.1367016936404,1074.9094752131477,LO,0.1,2007-11-20,480.1797
1129.7814468144181,1114.8268683170352,1104.6213453469666,1089.5781929575949,1084.395433545638,1079.5793397102861,LO,0.1,2007-11-21,480.3404
1132.296335897175,1117.3168978006165,1106.8500629635253,1091.46017627554,1086.3815701633148,1081.5315513579162,LO,0.1,2007-11-22,480.3089
1135.9093927459207,1120.8906035471102,1109.8445611946554,1093.6889576335145,1088.55356491412,1083.614376882765,LO,0.1,2007-11-23,480.2774
1145.0732827165075,1130.21084742792,1118.5765972237875,1101.6457805396972,1095.4226914737408,1089.5459000071094,LO,0.1,2007-11-26,480.4377
1129.4037289907803,1114.8378863175399,1104.293309597906,1088.6689281371378,1084.415038224813,1081.5914880394084,LO,0.1,2007-11-27,480.4459
1111.4015054058104,1097.1986476648121,1087.3308607258316,1072.4736438364725,1070.833260948749,1072.8388296066826,LO,0.1,2007-11-28,480.586
1111.649254665078,1097.3692607767584,1087.772323405054,1073.385779034868,1071.7110073371796,1074.2574867117955,LO,0.1,2007-11-29,480.6231
1099.1267587268428,1085.0197669054378,1076.0288614978817,1062.4915021984098,1062.7435354296422,1067.5083579106479,LO,0.1,2007-11-30,480.4842
1103.9376868648324,1089.692127856572,1080.5859032115518,1066.4525481904143,1066.1597476742309,1070.461024667931,LO,0.1,2007-12-03,480.7299
1106.527107611014,1092.2387015245538,1082.4121821189528,1067.7107903618587,1067.4051290410064,1071.5572830164679,LO,0.1,2007-12-04,480.7414
1099.8572774647967,1085.674366268107,1076.1551999544215,1063.416633723935,1064.4788716482904,1069.7045431055226,LO,0.1,2007-12-05,480.7817
1106.1393025201373,1091.9638549670929,1081.942911850273,1067.5892656043454,1068.2456380295082,1072.957540412429,LO,0.1,2007-12-06,480.85
1092.3268171918874,1078.445198183996,1069.1852924897871,1056.611715046397,1058.2437674127664,1063.9472995313126,LO,0.1,2007-12-07,480.9231
1092.1324095219643,1078.2263762275547,1067.8473671234651,1055.319858952151,1056.870632234974,1062.4811124411754,LO,0.1,2007-12-10,481.0578
1104.1937112519786,1089.9851180230194,1079.4434816923595,1063.0939075398935,1063.3173238631844,1067.6830209668722,LO,0.1,2007-12-11,481.2389
1112.121650351798,1097.881298129022,1086.9852383183766,1067.4964323225872,1066.1010131158848,1069.1250738056458,LO,0.1,2007-12-12,481.323
1101.0268945752894,1087.054307469676,1077.2316524693429,1059.559522267673,1058.5502607005008,1061.8379515387378,LO,0.1,2007-12-13,481.3856
1094.6414762172342,1080.8497526527738,1071.8957203398836,1054.0660805741354,1053.0044030342951,1056.2615095456056,LO,0.1,2007-12-14,481.4222
1099.3746474819757,1085.3531518118382,1076.2914505496901,1057.1928496097319,1055.013586094262,1057.3495135781016,LO,0.1,2007-12-17,481.4257
1102.9178671296993,1087.3924285034934,1077.9331262418314,1059.600110227551,1057.8803578063664,1060.560530669204,LO,0.1,2007-12-18,481.4781
1109.196517608833,1093.9999469789548,1084.604690619618,1065.4808171527307,1063.4300882586767,1065.8230681282319,LO,0.1,2007-12-19,481.6196
1108.161350718174,1093.3775883122942,1084.0926068297113,1065.5779095343123,1063.7484779719086,1066.2649605966785,LO,0.1,2007-12-20,481.6839
1113.4938974622241,1098.2360298029485,1087.9836820691307,1069.379634592003,1067.103822936489,1069.393151705323,LO,0.1,2007-12-21,481.5919
1115.3948205599008,1099.9345822870746,1089.411036099996,1071.3013748786439,1069.2116561504301,1071.6758198661737,LO,0.1,2007-12-24,481.5046
1118.4923481749113,1102.867447986221,1092.0463380817555,1073.3108746376547,1070.7527708168136,1072.892249538077,LO,0.1,2007-12-25,481.53925
1119.9155928505181,1104.3032271657814,1093.2236955418832,1073.9152921038808,1070.9546507473483,1072.7942655441818,LO,0.1,2007-12-26,481.5739
1127.8016309859868,1111.560508232845,1100.1883022678721,1078.6975577595113,1075.0051827706347,1076.1666429066195,LO,0.1,2007-12-27,481.7069
1134.0496563259305,1117.7384115857228,1106.0209926423693,1084.3534746693813,1080.8549264830813,1082.2885632398272,LO,0.1,2007-12-28,481.8164
1137.350627242682,1121.0463508084142,1109.1729223246045,1086.5318425985731,1082.6871972398299,1083.9268850563558,LO,0.1,2007-12-31,481.8464
1143.7766081281382,1127.3107943101472,1115.218892396307,1091.0398492956285,1085.8457294314228,1086.105216241161,LO,0.1,2008-01-01,481.97090000000003
1154.62609685509,1137.9345731511658,1125.597393103467,1099.8118214213996,1092.982739193279,1092.09599415715,LO,0.1,2008-01-02,482.0954
1159.7550660609954,1142.9934770542473,1130.6006938971616,1103.987802858006,1096.7761857198284,1095.5328988032015,LO,0.1,2008-01-03,482.1748
1161.6807809179015,1144.835324058343,1132.3392114539022,1104.6841627052113,1097.170914555217,1095.9636312896866,LO,0.1,2008-01-04,482.2534
1160.7269210452996,1143.877711004492,1131.3697150596838,1103.5858672604065,1097.3840650443217,1097.0960869453702,LO,0.1,2008-01-07,482.3217
1171.7949763280699,1154.7907884711171,1142.1706842592373,1113.7257676133763,1105.155798768821,1103.2271474473855,LO,0.1,2008-01-08,482.353
1176.6797904811935,1159.553912676246,1146.8172245990916,1118.1670332010451,1110.4869610915814,1109.347328527405,LO,0.1,2008-01-09,482.447
1169.7066816309577,1152.7722707370488,1140.224351238952,1111.6023721233248,1104.979337225931,1105.1542361367954,LO,0.1,2008-01-10,482.4781
1172.1930253883904,1155.2226184735528,1142.6480269433848,1114.076857445282,1107.021373258368,1106.3269705157954,LO,0.1,2008-01-11,482.6257
1180.001015532501,1162.89756534112,1150.214023914649,1121.1874627959114,1113.3635101846817,1111.843848164671,LO,0.1,2008-01-14,482.7012
