holding_costs,holding_costs_rf,max_holding,return,std,trans_costs,turnover,sharpe
0.0,0.0,1.0,-0.0063968641534243,0.0838917971748208,0.0001,9.587878570551046,-0.07625136626998197
0.0005,0.0,1.0,0.0070659410781888,0.0792850941509017,0.0001,5.95372499080393,0.08912067462189474
0.001,0.0,1.0,0.0169708400190562,0.0817136021787523,0.0001,4.334658507030139,0.20768684241739457
0.02,0.0,1.0,0.0432174292279046,0.0974884061314849,0.0001,0.541323205234433,0.4433083988429992
0.05,0.0,1.0,0.0448722327902451,0.0987338603375427,0.0001,0.319099455884594,0.4544766368583162
0.0,0.0,1.0,0.0034122420364728,0.0824105403972492,0.0005,6.283412186785111,0.041405407852254515
0.0005,0.0,1.0,0.015817274698781,0.0795415440443893,0.0005,3.7820955263957456,0.1988555149237981
0.001,0.0,1.0,0.0235963013010296,0.0824878646763293,0.0005,2.769477522070702,0.28605785097745157
0.02,0.0,1.0,0.0439122848951727,0.0976783215865807,0.0005,0.3970611014559362,0.44956019085820864
0.05,0.0,1.0,0.0451602262703065,0.0988145208587673,0.0005,0.2596742651690543,0.45702014114760203
0.0,0.0,1.0,0.00912174468637,0.0816378062275238,0.001,4.692669720255996,0.11173431903532272
0.0005,0.0,1.0,0.0200481742215026,0.0796192648890094,0.001,2.835258373271299,0.2518005441201962
0.001,0.0,1.0,0.0270319077931944,0.0827835048885219,0.001,2.077234577253497,0.32653736791642446
0.02,0.0,1.0,0.0443052120569433,0.0977678055266517,0.001,0.3320809190824441,0.4531677050362516
0.05,0.0,1.0,0.045323641473292,0.0988531141998137,0.001,0.2329133723953364,0.4584948267960325
0.0,0.0,1.0,0.0326160992741804,0.0735782801655107,0.004,0.9651883855077502,0.4432843388131946
0.0005,0.0,1.0,0.0358436129800221,0.0769223808683635,0.004,0.7116943678627332,0.4659711851790042
0.001,0.0,1.0,0.0386037062785422,0.0813322006969011,0.004,0.579760226519573,0.474642342734654
0.02,0.0,1.0,0.0454065129766996,0.0977868839291569,0.004,0.2045071717062956,0.4643415471710398
0.05,0.0,1.0,0.0457782644591813,0.0988648193084327,0.004,0.1806163920939704,0.4630389736147187
0.0,0.0,1.0,0.0493232753368937,0.0511215716169538,0.008,0.1681633205225016,0.9648231417153122
0.0005,0.0,1.0,0.0500225608863302,0.0679354585017686,0.008,0.1903620281399337,0.736324770444111
0.001,0.0,1.0,0.0490325393541655,0.0766414796156622,0.008,0.1943852899601946,0.6397650410724244
0.02,0.0,1.0,0.0462479867517349,0.0975896783102363,0.008,0.1694161190246614,0.47390244083716687
0.05,0.0,1.0,0.0461215579298917,0.0987864830279978,0.008,0.1661936003777823,0.4668812626603991
0.0,0.0,1.0,0.0668637199655857,0.0481395652979025,0.015,0.0819246256605861,1.3889556241692742
0.0005,0.0,1.0,0.0569460464113951,0.0447736927317481,0.015,0.1084732749940362,1.2718639660252065
0.001,0.0,1.0,0.0534057724355445,0.058048171454992,0.015,0.1281827192437693,0.920025060168398
0.02,0.0,1.0,0.0466283234522935,0.0964863537552535,0.015,0.1613936335220296,0.48326340085946795
0.05,0.0,1.0,0.0462778674135153,0.0983489880275371,0.015,0.1628551173326021,0.4705474691875608
0.0,0.0,1.0,0.06686371996558571,0.04813956529790252,0.015,0.08192462566058616,1.388955624169274
0.0001,0.0,1.0,0.06686371340217878,0.04813955840692301,0.015,0.08192462177912872,1.388955686651314
0.0005,0.0,1.0,0.05694604641139511,0.04477369273174814,0.015,0.10847327499403624,1.2718639660252056
0.001,0.0,1.0,0.05340577243554456,0.05804817145499205,0.015,0.12818271924376937,0.9200250601683984
0.0,0.0,1.0,0.06686372699118803,0.0481395724604713,0.2,0.08192457781995884,1.388955563452327
0.0001,0.0,1.0,0.0668637263386509,0.04813957245546359,0.2,0.081924577591964,1.3889555500417041
0.0005,0.0,1.0,0.06686372701832077,0.048139572460014546,0.2,0.08192457741735548,1.388955564029132
0.001,0.0,1.0,0.06686372683703534,0.04813957245904198,0.2,0.08192457771275548,1.3889555602913635
0.0,0.0,1.0,0.06686372699957621,0.048139572460079,0.25,0.08192457774104965,1.3889555636378927
0.0001,0.0,1.0,0.06686372652249584,0.04813957245730645,0.25,0.08192457754734286,1.3889555538075309
0.0005,0.0,1.0,0.06686372694888809,0.04813957245967141,0.25,0.08192457741056003,1.388955562596712
0.001,0.0,1.0,0.06686372676519081,0.0481395724584623,0.25,0.08192457776062669,1.3889555588156672
0.0,0.0,1.0,0.066863726971093,0.04813957245980812,0.3,0.08192457783434946,1.3889555630540287
0.0001,0.0,1.0,0.0668637263664078,0.0481395724560303,0.3,0.0819245775149494,1.3889555506019453
0.0005,0.0,1.0,0.06686372680718033,0.04813957245896325,0.3,0.08192457741706835,1.388955559673459
0.001,0.0,1.0,0.06686372689614073,0.04813957245924974,0.3,0.0819245781287958,1.388955561513161
0.0,0.0,1.0,0.06686372700069954,0.048139572460245514,0.35,0.08192457770133284,1.3889555636564233
0.0001,0.0,1.0,0.06686372668670204,0.04813957245771665,0.35,0.08192457759296866,1.3889555572067396
0.0005,0.0,1.0,0.06686372683449826,0.048139572459169895,0.35,0.08192457741174199,1.3889555602349701
0.001,0.0,1.0,0.06686372710105526,0.048139572460620894,0.35,0.08192457741010942,1.388955565730275
0.0,0.0,1.0,0.06686372695242393,0.048139572459930204,0.4,0.08192457766775485,1.388955562662695
0.0001,0.0,1.0,0.06686372650990235,0.048139572457437954,0.4,0.08192457772805947,1.388955553542133
0.0005,0.0,1.0,0.06686372677059249,0.048139572458808434,0.4,0.08192457739511035,1.388955558917889
