holding_costs,holding_costs_rf,max_holding,return,std,trans_costs,turnover
0.0,0.0,0.2,0.07228025449971076,0.08158150441906505,0.0001,8.837104151406393
0.0,0.0005,0.2,0.0846487229705506,0.09486612655338865,0.0001,6.680671386253709
0.0,0.001,0.2,0.08810842121849594,0.09675925506389163,0.0001,5.9659570482699165
0.0005,0.0,0.2,0.0694770166569667,0.07816072431875058,0.0001,8.302684577944639
0.0005,0.0005,0.2,0.08349747927007156,0.09302798687884911,0.0001,6.393609686544922
0.0005,0.001,0.2,0.086900642685245,0.09526278217914426,0.0001,5.743123043483681
0.001,0.0,0.2,0.06707128996936285,0.07474684254915083,0.0001,7.775526278389376
0.001,0.0005,0.2,0.08111258912354913,0.09142288424610816,0.0001,6.192290348542132
0.001,0.001,0.2,0.08553964772295508,0.09402412533203054,0.0001,5.534439315714879
0.0,0.0,0.2,0.07385661830418044,0.08168290647753798,0.0005,6.204818406635785
0.0,0.0005,0.2,0.08306554804021204,0.0952643148900902,0.0005,4.589467051876651
0.0,0.001,0.2,0.08796082720452958,0.09730677313968168,0.0005,4.099353358601471
0.0005,0.0,0.2,0.0719835615315858,0.07791458040366386,0.0005,5.894375114550314
0.0005,0.0005,0.2,0.08142963152546723,0.09339040120035899,0.0005,4.433668518691783
0.0005,0.001,0.2,0.08530566281666663,0.09559986308031607,0.0005,3.9785525968081603
0.001,0.0,0.2,0.07003576925364952,0.07427920771081543,0.0005,5.622024928868834
0.001,0.0005,0.2,0.07989794946164319,0.09175816708852923,0.0005,4.326500792890941
0.001,0.001,0.2,0.08295782716401257,0.09436809480610477,0.0005,3.898136653458458
0.0,0.0,0.2,0.07413697728605473,0.08203365460768595,0.001,4.920934866311729
0.0,0.0005,0.2,0.08024371830020338,0.0955927283402677,0.001,3.489932857988404
0.0,0.001,0.2,0.0843139140698752,0.09771659301466831,0.001,3.1149267773794307
0.0005,0.0,0.2,0.07240041977253853,0.07800670684393415,0.001,4.810666117085538
0.0005,0.0005,0.2,0.07849083701700943,0.09371420046739305,0.001,3.4919618381889057
0.0005,0.001,0.2,0.08176356961188391,0.09600665601403105,0.001,3.1103963532729195
0.001,0.0,0.2,0.07063577577841507,0.0742314527137215,0.001,4.6274478069717375
0.001,0.0005,0.2,0.07697020926895837,0.09201901156179011,0.001,3.461478647707793
0.001,0.001,0.2,0.07921712666706648,0.09475635767578111,0.001,3.120662689824462
0.0,0.0,0.2,0.0676617266401307,0.08185456708860037,0.004,2.326993162171064
0.0,0.0005,0.2,0.06816390365225122,0.09666239061400511,0.004,1.4305580815538255
0.0,0.001,0.2,0.07161343771896078,0.09844425907537008,0.004,1.2440114381210747
0.0005,0.0,0.2,0.06997978192032361,0.07744106286919039,0.004,2.3281296983529303
0.0005,0.0005,0.2,0.06755425561050687,0.09520849694044449,0.004,1.5109999497833544
0.0005,0.001,0.2,0.06865978799630312,0.09760064852727882,0.004,1.3134875327005933
0.001,0.0,0.2,0.06985080746985672,0.07351704045834753,0.004,2.300610140250398
0.001,0.0005,0.2,0.06790777188682795,0.09324509800604563,0.004,1.5863688837768206
0.001,0.001,0.2,0.06928290790486025,0.09637608903444402,0.004,1.387616629541031
0.0,0.0,0.35,0.0657329018123396,0.11799744054209908,0.0001,12.736869626990071
0.0,0.0005,0.35,0.07394702951268761,0.12399534376312432,0.0001,11.573876291226888
0.0,0.001,0.35,0.0751533860421505,0.12487945247065141,0.0001,11.357090696767692
0.0005,0.0,0.35,0.06854218419848279,0.11121459647745811,0.0001,11.140248951477727
0.0005,0.0005,0.35,0.07565431404996303,0.12158538303474516,0.0001,10.763142231045014
0.0005,0.001,0.35,0.07685711480319002,0.12272604902650062,0.0001,10.561994183041953
0.001,0.0,0.35,0.07062034696072095,0.10518547580508958,0.0001,9.871254279264333
0.001,0.0005,0.35,0.0760580109556126,0.11868583592188592,0.0001,10.074891337531337
0.001,0.001,0.35,0.07716785447724672,0.12021054911928572,0.0001,9.921746692083058
0.0,0.0,0.35,0.07052961369608468,0.1164355599930744,0.0005,9.314770359538832
0.0,0.0005,0.35,0.07785597568632818,0.12311833184167177,0.0005,8.077258473466035
0.0,0.001,0.35,0.07943130286369438,0.12412148351868887,0.0005,7.824935704369916
0.0005,0.0,0.35,0.07177156772544557,0.10973542897629492,0.0005,8.208540423794979
0.0005,0.0005,0.35,0.07827614741553579,0.12093883850629338,0.0005,7.642171564660324
0.0005,0.001,0.35,0.07924655873321829,0.12216329615964167,0.0005,7.445657990491351
0.001,0.0,0.35,0.07348836045614893,0.10396820341705888,0.0005,7.30164697550723
0.001,0.0005,0.35,0.07676070346718733,0.11798601232356055,0.0005,7.231379204392511
0.001,0.001,0.35,0.078581145082675,0.11954541225838142,0.0005,7.084362588423367
0.0,0.0,0.35,0.07389777716033974,0.11585499558630494,0.001,7.619649622412936
0.0,0.0005,0.35,0.07949538028733061,0.12259609161123045,0.001,6.479168970735589
0.0,0.001,0.35,0.08053581520404629,0.12365406339511859,0.001,6.246973633084904
0.0005,0.0,0.35,0.07290920307014348,0.10924923676022207,0.001,6.751838252976269
0.0005,0.0005,0.35,0.07902706648576796,0.12049460998402596,0.001,6.155585020481624
0.0005,0.001,0.35,0.08028705030881311,0.12178126361515271,0.001,5.963954781591219
0.001,0.0,0.35,0.07416620876032964,0.10355760334753844,0.001,6.077575292589233
0.001,0.0005,0.35,0.07740655026877152,0.11763439526945943,0.001,5.8135476470484955
0.001,0.001,0.35,0.07930727918278224,0.11917660636051236,0.001,5.656568876129741
