holding_costs,max_holding,return,std,trans_costs,turnover
0.0,0.2,0.08524571100223732,0.08986027234873614,0.0005,4.0971582204042845
0.0005,0.2,0.08302856809107806,0.0884633935687209,0.0005,3.9775696414843122
0.001,0.2,0.08020511840068067,0.08716509956689657,0.0005,3.9525157360023866
0.002,0.2,0.07709218122410344,0.08608140681258061,0.0005,3.894740898926207
0.0,0.2,0.07947712817511521,0.08996403906776984,0.001,3.214714651810988
0.0005,0.2,0.07945335033239886,0.08851570127826276,0.001,3.1685706136800977
0.001,0.2,0.07871821624998332,0.08721937572388413,0.001,3.177709583449033
0.002,0.2,0.07571124442693189,0.08603140206497355,0.001,3.1798343754235296
0.0,0.2,0.07332088489357491,0.0901880814339989,0.004,1.2124976009735202
0.0005,0.2,0.0726061100037898,0.08811104990069488,0.004,1.333299880669334
0.001,0.2,0.07164262102588848,0.08683811604537311,0.004,1.4699125890184215
0.002,0.2,0.07151391382360428,0.08557959328511681,0.004,1.5370080261724637
0.0,0.2,0.07275055463362023,0.09006841672589758,0.008,0.5562589806654735
0.0005,0.2,0.07311516203625268,0.08901468164529433,0.008,0.5907731426026783
0.001,0.2,0.07037464035134988,0.08853887441485156,0.008,0.6427810348432957
0.002,0.2,0.06772144560390703,0.08733341415771621,0.008,0.7584702003870241
0.0,0.2,0.06953523862150357,0.09196155177252945,0.012,0.3823544339181964
0.0005,0.2,0.06867383034311958,0.09112371510618844,0.012,0.39256810681421883
0.001,0.2,0.06833761112737413,0.09033735994140202,0.012,0.40862409794011667
0.002,0.2,0.06341834279554592,0.08949357069870614,0.012,0.45343548072583867
0.0,0.2,0.062391380177186484,0.0937643318852785,0.015,0.3031349406827308
0.0005,0.2,0.061084449607441416,0.09340424986604116,0.015,0.3142653334978971
0.001,0.2,0.06026214020257692,0.0925166920871437,0.015,0.3215910405420618
0.002,0.2,0.058424047581892014,0.09031822648308907,0.015,0.3449060748318145
0.0,0.3,0.07341791067563874,0.10313817848585302,0.0005,7.415843462942484
0.0005,0.3,0.07623398813972071,0.10346109679386316,0.0005,7.019509690044287
0.001,0.3,0.07545896028073118,0.10276414343954125,0.0005,6.664426072228472
0.002,0.3,0.07815756059006773,0.10106395201484658,0.0005,5.72097894079761
0.0,0.3,0.07515172268107628,0.10277118346744209,0.001,6.16170868331426
0.0005,0.3,0.07766484905913162,0.10307685310372357,0.001,5.711960609683263
0.001,0.3,0.07537440375034343,0.10244113765556717,0.001,5.430698817117205
0.002,0.3,0.07788119357967349,0.10076292859191971,0.001,4.65179055768778
0.0,0.3,0.0750486244045212,0.10133087269537241,0.004,3.124611464894933
0.0005,0.3,0.07447643530170489,0.10147327367139977,0.004,2.848852199528737
0.001,0.3,0.07467364481770367,0.10122510748431571,0.004,2.6454346967650526
0.002,0.3,0.07662275990187939,0.10013908222464997,0.004,2.367903263685117
0.0,0.3,0.06114870984535403,0.10234801774188475,0.008,1.5634425444437698
0.0005,0.3,0.0666357974462064,0.10276713343786907,0.008,1.4733705817607519
0.001,0.3,0.07018151537599104,0.10302070960012172,0.008,1.388114978863199
0.002,0.3,0.067680401686943,0.10182340378717925,0.008,1.3035127589744702
0.0,0.3,0.05413705095664567,0.10430115293112055,0.012,0.9315092661497789
0.0005,0.3,0.05861506043752551,0.10377414272645881,0.012,0.8732330803968451
0.001,0.3,0.061857960469837714,0.10445369466626336,0.012,0.8610735390722951
0.002,0.3,0.05916689350578852,0.10383804853798001,0.012,0.8444217518992259
0.0,0.3,0.04964609931747477,0.10462558846265864,0.015,0.7380258170751941
0.0005,0.3,0.051628651957108085,0.1046856427081655,0.015,0.6988943338008137
0.001,0.3,0.05423324172883537,0.10507422619957336,0.015,0.6678430236453502
0.002,0.3,0.05484353942032616,0.10444244128911208,0.015,0.6534197064068135
0.0,0.4,0.06823889929869975,0.12094743875963633,0.0005,8.89750218263864
0.0005,0.4,0.07522902377217688,0.12060253949590508,0.0005,8.08670299806881
0.001,0.4,0.07931568488388874,0.11952374142392488,0.0005,7.454015609085569
0.002,0.4,0.08395008257021264,0.117210485519765,0.0005,6.313366010232572
0.0,0.4,0.0700272335764145,0.1207018951955596,0.001,7.473487114902457
0.0005,0.4,0.07653516942521921,0.12022554081257464,0.001,6.7290367386764345
0.001,0.4,0.08001880984937948,0.11917910446560945,0.001,6.16312933789066
0.002,0.4,0.08412863155265016,0.11690877654703073,0.001,5.213715151488076
0.0,0.4,0.07016198154830477,0.11970090250986636,0.004,4.039909959018826
0.0005,0.4,0.07674934936158517,0.11960012541482064,0.004,3.632156061138804
0.001,0.4,0.07776049987604661,0.11877707908336352,0.004,3.310928324732671
0.002,0.4,0.08054610909486115,0.11530637686489345,0.004,2.914359942962373
0.0,0.4,0.06014015153749375,0.12082574507211123,0.008,2.1966771510777923
0.0005,0.4,0.06350554002580511,0.1208164441884709,0.008,2.0597727878218457
0.001,0.4,0.06827072704413628,0.1194119665962934,0.008,1.9460146518974393
0.002,0.4,0.06910495113521775,0.11284203646905187,0.008,1.819822927473433
0.0,0.4,0.05370322092016888,0.12252822018091103,0.012,1.3604175554668194
0.0005,0.4,0.05499516560854101,0.12100100961531947,0.012,1.312743395396784
0.001,0.4,0.05865154227893132,0.12018272800262236,0.012,1.2682536507047504
0.002,0.4,0.060495147062368915,0.11132328033276079,0.012,1.2206722960260576
0.0,0.4,0.04639732594652046,0.12362548117129955,0.015,1.0478139073278767
0.0005,0.4,0.048956436030822115,0.12041482959602898,0.015,0.9964246602856635
0.001,0.4,0.0525100489434156,0.11638265525033382,0.015,0.9655565491541032
