holding_costs,max_holding,return,std,trans_costs,turnover
0.0,0.2,0.05171612349291799,0.09348137905259894,0.0005,3.2304312514149913
0.0005,0.2,0.05264264817558595,0.091334726269965,0.0005,4.563426721469046
0.001,0.2,0.052074782363169314,0.08848344570657632,0.0005,4.646100786515315
0.002,0.2,0.05385553779197183,0.0851973140818895,0.0005,4.1404456073590925
0.0,0.2,0.052243177866913015,0.09385080609367856,0.001,2.5669949182961247
0.0005,0.2,0.05225291742990623,0.09129725221703723,0.001,3.247596009388793
0.001,0.2,0.05349599752416978,0.08824793691738221,0.001,3.557875581655253
0.002,0.2,0.054556168366349356,0.08505316068368272,0.001,3.3265870793328554
0.0,0.2,0.0528490657590277,0.09566793705195854,0.004,1.125182039765777
0.0005,0.2,0.05670885416457305,0.09277017503126861,0.004,1.1393322842942446
0.001,0.2,0.05857625716831927,0.0895539244661482,0.004,1.2089484688916994
0.002,0.2,0.05952170865927786,0.08540265525959878,0.004,1.272500262781514
0.0,0.2,0.06932799341573692,0.09201856654456272,0.008,0.5391396239130962
0.0005,0.2,0.06650439453578239,0.09072654906217485,0.008,0.5588340626873524
0.001,0.2,0.06674322336689698,0.0894448745472294,0.008,0.5937202910611881
0.002,0.2,0.06631741552869364,0.087126223265254,0.008,0.659397148145428
0.0,0.2,0.07922260616396071,0.09642469384209958,0.012,0.37266599932018213
0.0005,0.2,0.07950343392530512,0.0955165903001848,0.012,0.3835541110694953
0.001,0.2,0.07715245069850529,0.09366258977608077,0.012,0.3793040462510038
0.002,0.2,0.07172492249259133,0.09160213970635896,0.012,0.40139118815339037
0.0,0.2,0.07971471942575947,0.09965897658685412,0.015,0.2995925578208393
0.0005,0.2,0.07841503045102494,0.09820929730940696,0.015,0.30462946166341903
0.001,0.2,0.07872766528573472,0.09738107476396103,0.015,0.31139544115619894
0.002,0.2,0.07337732083969661,0.09370491039436198,0.015,0.3240525922990767
0.0,0.3,0.055268207141393244,0.09167278760575945,0.0005,5.782388980007708
0.0005,0.3,0.051502448638727216,0.09290814636971692,0.0005,7.287218276822354
0.001,0.3,0.054122288806929486,0.09310493639785904,0.0005,6.664463027342815
0.002,0.3,0.056657342394675014,0.08984497110106698,0.0005,5.459592027019184
0.0,0.3,0.0524423750814198,0.09116737603562114,0.001,4.896528938011518
0.0005,0.3,0.05099235616177156,0.0928427446668268,0.001,5.6142026730184496
0.001,0.3,0.05371347717972674,0.09284551776411958,0.001,5.36744403842569
0.002,0.3,0.05629957137413766,0.08955305789439365,0.001,4.555354099844339
0.0,0.3,0.043128610478968765,0.09113343238671628,0.004,2.7386379534683125
0.0005,0.3,0.04897312983866753,0.09181244307159886,0.004,2.5637811188959567
0.001,0.3,0.0516798449397009,0.0921457418624404,0.004,2.431839272484182
0.002,0.3,0.05523179066777417,0.08999393207088437,0.004,2.1798850349953307
0.0,0.3,0.04134317329250892,0.09427606183194787,0.008,1.660118328965181
0.0005,0.3,0.05205085387933828,0.09424168449759171,0.008,1.551324670523744
0.001,0.3,0.058140971592077095,0.09507371348676946,0.008,1.435612220386534
0.002,0.3,0.059988392770141674,0.09334382418836285,0.008,1.3863084507399788
0.0,0.3,0.04307722006756309,0.10999057367071025,0.012,0.9837286272501603
0.0005,0.3,0.05151465321974502,0.10540630793521895,0.012,0.9704188811399728
0.001,0.3,0.05678417654344958,0.10402861102862339,0.012,0.9454363439734391
0.002,0.3,0.06295306918799803,0.10025686224392065,0.012,0.9230289546279505
0.0,0.3,0.0455686109039537,0.11885988219442647,0.015,0.6714821711173422
0.0005,0.3,0.051303158348160016,0.11184104472354801,0.015,0.7285585986698134
0.001,0.3,0.055767261557840175,0.10909634124515338,0.015,0.7485980905041321
0.002,0.3,0.06398374644044336,0.1054755525854162,0.015,0.7189793919643354
0.0,0.4,0.056785279501192054,0.09988674112377315,0.0005,7.167926543644503
0.0005,0.4,0.05535643647844868,0.09904722830341493,0.0005,8.335064656978622
0.001,0.4,0.05811032261023863,0.09724943323400308,0.0005,7.632332036785314
0.002,0.4,0.05956365275196185,0.0924754676334412,0.0005,6.31412441993327
0.0,0.4,0.053048440599819946,0.09941576501273934,0.001,6.193567300488967
0.0005,0.4,0.054435248095582534,0.09867385604758883,0.001,6.625514871617145
0.001,0.4,0.057031698151987165,0.09679115081895062,0.001,6.274194859768659
0.002,0.4,0.05904902233245313,0.09204585394613132,0.001,5.369922411848649
0.0,0.4,0.043437674955143946,0.09790603463400761,0.004,3.72455884164914
0.0005,0.4,0.05027550245787471,0.09808345723346865,0.004,3.4141370169669765
0.001,0.4,0.053722482052420695,0.0962810879688773,0.004,3.1910497564614446
0.002,0.4,0.059088591494994125,0.09263085124850982,0.004,2.83557970444033
0.0,0.4,0.04445394953566906,0.10212224676013017,0.008,2.296888988277346
0.0005,0.4,0.050587714896279,0.10289050411150073,0.008,2.115419485166683
0.001,0.4,0.061579370199185135,0.10047953776411166,0.008,2.041120503714429
0.002,0.4,0.06671416671767672,0.096838241710155,0.008,1.8509767548056448
0.0,0.4,0.044284134774936756,0.11249644264965815,0.012,1.5810773945895307
0.0005,0.4,0.051391305949267885,0.1097116689154271,0.012,1.4598735952878992
0.001,0.4,0.05912474153654812,0.10710521358486681,0.012,1.385283271075324
0.002,0.4,0.06603674487315847,0.10283307723025174,0.012,1.3143142527821103
0.0,0.4,0.053572760167476696,0.11555129984394229,0.015,1.2508915923741986
0.0005,0.4,0.05601481197792224,0.11452298485468344,0.015,1.1692625432373236
0.001,0.4,0.05993284831327994,0.11164519066878675,0.015,1.1152884388131747
