sample_length,$\lambda$,BAC
250,0.25,0.7257383966244726
250,0.25,0.47257383966244726
250,0.25,0.936476285429426
250,0.25,0.954896383583909
250,0.25,0.679324894514768
250,0.25,0.4978902953586498
250,0.25,0.9368421052631579
250,0.25,0.6526737967914438
250,0.25,0.8793195108984582
250,0.25,0.5654008438818565
250,0.25,0.5654008438818565
250,0.25,0.5485232067510548
250,0.25,0.70042194092827
250,0.25,0.990909090909091
250,0.25,0.6371308016877637
250,0.25,0.6160337552742616
250,0.25,0.671137339055794
250,0.25,0.510548523206751
250,0.25,0.35864978902953587
250,0.25,0.9750224014336918
250,0.25,0.540084388185654
250,0.25,0.9210526315789473
250,0.25,0.3924050632911392
250,0.25,0.5443037974683544
250,0.25,0.6286919831223629
250,0.25,0.41350210970464135
250,0.25,0.5189873417721519
250,0.25,0.8755364806866952
250,0.25,0.5991561181434599
250,0.25,0.4345991561181435
250,0.25,0.971062271062271
250,0.25,0.9361561119293078
250,0.25,0.8286825578075936
250,0.25,0.5147679324894515
250,0.25,0.9145618358231942
250,0.25,0.459915611814346
250,0.25,0.5991561181434599
250,0.25,0.5780590717299579
250,0.25,0.7699240986717268
250,0.25,0.4092827004219409
250,0.25,0.8311089078706528
250,0.25,0.5527426160337553
250,0.25,0.4219409282700422
250,0.25,0.9838709677419355
250,0.25,0.8641552511415524
250,0.25,0.510548523206751
250,0.25,0.3628691983122363
250,0.25,0.43037974683544306
250,0.25,0.5443037974683544
250,0.25,0.45147679324894513
250,0.25,0.5864978902953587
250,0.25,0.9791666666666667
250,0.25,0.8888322655794991
250,0.25,0.4936708860759494
250,0.25,0.8797864506627393
250,0.25,0.4430379746835443
250,0.25,0.5991561181434599
250,0.25,0.8139025725232621
250,0.25,0.45569620253164556
250,0.25,0.4810126582278481
250,0.25,0.95
250,0.25,0.8175675675675675
250,0.25,0.6329113924050633
250,0.25,0.90962441314554
250,0.25,0.3206751054852321
250,0.25,0.5864978902953587
250,0.25,0.4936708860759494
250,0.25,0.20851063829787234
250,0.25,0.5611814345991561
250,0.25,0.9585987261146497
250,0.25,0.6497890295358649
250,0.25,0.8510436432637571
250,0.25,0.4472573839662447
250,0.25,0.5274261603375527
250,0.25,0.4388185654008439
250,0.25,0.7805907172995781
250,0.25,0.45147679324894513
250,0.25,0.7923243883188635
250,0.25,0.6413502109704642
250,0.25,0.540084388185654
250,0.25,0.5316455696202531
250,0.25,0.8471528471528471
250,0.25,0.6497890295358649
250,0.25,0.6455696202531646
250,0.25,0.882771164021164
250,0.25,0.9507275132275133
250,0.25,0.5189873417721519
250,0.25,0.5569620253164557
250,0.25,0.9166666666666667
250,0.25,0.5949367088607594
250,0.25,0.6991074224866897
250,0.25,0.4050632911392405
250,0.25,0.510548523206751
250,0.25,0.9619269619269619
250,0.25,0.4767932489451477
250,0.25,0.6624472573839663
250,0.25,0.510548523206751
250,0.25,0.7466666666666666
250,0.25,0.9444444444444444
250,0.25,0.4430379746835443
250,0.25,0.41350210970464135
250,0.25,0.9345794392523364
250,0.25,0.7062889812889813
250,0.25,0.7426470588235294
250,0.25,0.7297872340425532
250,0.25,0.801271186440678
250,0.25,0.6509316770186335
250,0.25,0.41350210970464135
250,0.25,0.510548523206751
250,0.25,0.5611814345991561
250,0.25,0.7923728813559322
250,0.25,0.8455421146953406
250,0.25,0.7875
250,0.25,0.4810126582278481
250,0.25,0.459915611814346
