$\mu_1$,$\mu_2$,$\sigma_1$,$\sigma_2$,$q_{11}$,$q_{22}$,BAC,is_fitted,two_states,model,Simulation length
0.0003439071009879,-0.0007167461546192,0.0068589355361434,0.0088952927085532,0.989010989010989,0.9814814814814816,0.7679324894514767,True,False,jump,250
0.0001224033250672,-0.0003768763531827,0.0083374713943394,0.0116802680987949,0.99009900990099,0.9411764705882352,0.675019425019425,True,True,jump,250
-6.300980818993912e-05,0.0063027549742183,0.0076191781996246,0.0136006615676383,0.9954954954954957,0.9285714285714286,0.940928270042194,True,False,jump,250
-0.0002042423475476,0.0052750059355476,0.0068753294150267,0.0086728140803085,0.9953917050691244,0.8947368421052632,0.919831223628692,True,False,jump,250
-2.5838139573804597e-05,-0.0098918866574265,0.0098005383403891,0.0397090754699713,0.9954954954954957,0.9285714285714286,0.5364516129032257,True,True,jump,250
-0.000628858864008,-0.0005572292987202,0.0066213622430575,0.0080723698852179,0.9954954954954957,0.9285714285714286,0.940928270042194,True,False,jump,250
0.0005401310590505,-0.0010930181545513,0.0073710178640721,0.0103838774105629,0.9896907216494846,0.9523809523809524,0.8227848101265823,True,False,jump,250
0.000845089456628,0.002406313029199,0.0077863996451928,0.0124174259243316,0.9904306220095692,0.9629629629629628,0.8818565400843882,True,False,jump,250
0.0008744244748097,-0.0042118726722855,0.0073086172034729,0.0131720033890371,0.984924623115578,0.918918918918919,0.8438818565400844,True,False,jump,250
0.0015969091808809,-0.0038504371908884,0.0077755152055721,0.0104318862917268,0.9905660377358492,0.9166666666666666,0.448051948051948,True,True,jump,250
6.207142398683041e-05,0.0036281394709365,0.0070705627211342,0.0094462690421127,0.9903846153846154,0.9285714285714286,0.8818565400843882,True,False,jump,250
0.0007959768549085,0.001081430067226,0.0073340825084025,0.0109610233217821,0.9908675799086758,0.9411764705882352,0.9240506329113924,True,False,jump,250
-0.0062627817085595,0.0008920747898161,0.0049134532344077,0.0070199037012519,0.5,0.9957264957264956,0.0084388185654008,True,False,jump,250
